sale_date;channel_type;prod_name;cnt;amt;amt_clear
2021-02-12;Почта;Адресный Первый;10;5404177,25;4850000
2021-08-28;КЦ;ПраймЛьготный  ;1;343056;307000
2021-10-07;Почта;Рефинансирование Адресный;4;2184657,4;2058270
2021-12-04;КЦ;Суперсмарт АЛ ;5;5882450;5705000
2022-07-27;КЦ;Суперсмарт А ;7;1650652;1501000
2021-07-11;КЦ;Рефинансирование для пенсионеров;1;125553;105000
2021-03-20;Почта;Рефинансирование для пенсионеров;5;1069496,5;934600
2021-11-08;КЦ;РефинансированиеПерспектива  ;4;878696,29;769513
2021-10-28;КЦ;Перспектива АП  ;2;1377175;1230500
2022-08-15;DBO;Суперсмарт А ;129;46116505;43633500
2022-08-09;DBO;Практичный ;39;13491328,6;13228500
2022-12-28;КЦ;Суперсмарт АП ;4;1846597;1630000
2022-02-05;КЦ;Рефинансирование Практичный А ;4;1406238,4;1198000
2022-03-12;DBO;Суперсмарт Лайт пенсионный ;2;404900;400000
2022-09-09;DBO;Рефинансирование Практичный А ;33;20347533,25;18204374,43
2021-05-31;МФЦ;ПраймАдресный Первый  ;1;358900;300000
2021-10-03;КЦ;Рефинансирование Адресный;1;504900;500000
2021-10-15;Стойки;Перспектива Лайт А  ;2;673900;669000
2022-05-27;Почта;Рефинансирование Суперсмарт А ;18;6861406,6;5923700
2022-09-26;Почта;Практичный АПЛ ;7;2710390,8;2000000
2021-04-11;КЦ;ПраймАдресный Льготный  ;5;1906335;1737500
2022-02-09;Почта;Практичный АПЛ ;2;930441,16;811000
2022-04-28;Почта;Практичный АЛ ;42;8248053,55;6668500
2021-01-20;POS;Суперпочтовый;1;100000;100000
2021-09-07;DBO;ПраймАдресный  ;97;38250030;33772000
2022-03-31;n/a;Суперсмарт Лайт ;1;220000;220000
2022-05-06;Почта;Шаг навстречу;2;363300;363300
2022-10-24;POS;Практичный А ;3;1910500;1910500
2021-02-17;ПФР;Суперхит;2;171400;150000
2021-03-05;Почта;Суперхит  Адресный;2;783180;603000
2021-10-05;Почта;Рефинансирование для пенсионеров;2;620500;600000
2022-05-11;DBO;Суперсмарт Лайт АЛ ;2;469800;440000
2022-01-06;Почта;Практичный АЛ ;12;3503134,76;3054000
2022-02-28;Почта;Суперсмарт АЛ ;6;4653790;4477000
2021-05-07;Почта;ПраймАдресный Первый  ;28;9365500;8216500
2022-02-09;КЦ;Шаг навстречу;1;169500;169500
2022-05-14;Почта;Суперсмарт Лайт АП ;4;899762;783000
2022-06-02;КЦ;Рефинансирование Практичный А ;22;10157936,8;8374100
2021-07-30;КЦ;Снижаем ставку АП промо ;2;1905800;1896000
2022-03-30;Почта;Суперсмарт Лайт А ;131;34635428,4;30265500
2022-09-20;КЦ;Суперсмарт пенсионный ;1;155979;132000
2021-02-19;КЦ;СуперпочтовыйДБО;1;917594;886000
2021-04-12;DBO;Адресный;154;46211277;38265000
2021-09-02;Почта;АП Перспектива  ;1;577044;501000
2022-06-23;КЦ;Практичный А ;82;29832873,9;24976500
2021-01-03;КЦ;Адресный;19;6987513;5979500
2021-03-05;МАП;Адресный Льготный;10;2299430;1967000
2021-04-16;Почта;Снижаем ставку ;28;19962430;18927500
2022-02-09;КЦ;Практичный ;18;7904739,12;7134500
2022-09-06;DBO;Суперсмарт ;20;7741518;7222500
2021-02-18;Почта;Суперхит;135;37457890;28223500
2021-03-18;КЦ;Рефинансирование Адресный;8;5804000;5132250
2022-04-08;КЦ;Практичный АП ;4;844610,73;708500
2021-06-15;Стойки;ПраймАдресный  ;4;1662640;1458500
2022-08-26;КЦ;Практичный ;194;106883528,5;86458500
2021-01-07;DBO;Адресный  Первый;3;1134729;768500
2021-06-17;DBO;А Снижаем ставку ;4;2403564;2149000
2022-06-08;Стойки;Практичный А ;2;329782,5;303000
2022-01-10;МАП;Суперсмарт ;1;1000000;1000000
2022-06-16;КЦ;Рефинансирование Практичный ;3;2527153,5;1865500
2021-02-13;POS;Адресный;3;529700;520000
2021-07-06;КЦ;Снижаем ставку АП минимум ;1;602997,5;500500
2021-12-22;Почта;Практичный АП ;4;1547533,78;1364500
2022-05-17;Стойки;Практичный ;1;103400;100500
2021-01-08;КЦ;Суперхит  Адресный Первый;12;3158192;2300000
2021-04-26;DBO;ПраймСуперпочтовый  ;69;24693000;22037500
2021-05-25;DBO;А Снижаем ставку плюс ;1;1140900;1136000
2021-10-15;Стойки;Перспектива Лайт  ;2;581930;526000
2022-04-28;КЦ;Рефинансирование Практичный А ;33;12932805,46;10189000
2021-09-15;Почта;Снижаем ставку АЛ минимум ;1;613508;500500
2021-10-06;КЦ;Перспектива А  ;12;13117284,5;11577500
2022-05-10;Почта;Суперсмарт А ;1;504900;500000
2021-11-29;DBO;Суперсмарт ;6;7345600;7273000
2022-02-22;Стойки;Практичный АЛ ;1;528983;455000
2021-02-08;КЦ;Адресный Первый;5;2991323,5;2672000
2021-03-28;Почта;Снижаем ставку плюс ;1;1620900;1616000
2021-05-01;DBO;Снижаем ставку ;1;500000;500000
2021-11-17;DBO;Перспектива Лайт АП  ;5;1543600;1525000
2022-07-06;КЦ;Практичный пенсионный ;35;9868790,58;7703200
2022-05-01;КЦ;Суперсмарт Лайт А ;2;348360;333000
2022-05-04;Почта;Практичный ;74;28209121,99;23182500
2021-04-23;КЦ;Снижаем ставку плюс ;3;5290300;4840000
2021-12-16;КЦ;Рефинансирование Суперсмарт АП ;1;3096900;3000000
2022-09-23;DBO;Стабильный А ;15;3011998,61;3011998,61
2022-12-17;Почта;Суперсмарт ;3;1504497;1325000
2021-09-02;Почта;Рефинансирование Адресный;11;5199787;4717000
2022-04-30;КЦ;Суперсмарт Лайт А ;19;4336110;4032000
2022-07-07;Почта;Рефинансирование Суперсмарт АП ;1;455100;410000
2021-05-19;Стойки;ПраймАдресный Первый  ;1;257900;253000
2021-04-01;КЦ;Рефинансирование;6;3010221,22;2588998,52
2022-01-18;Стойки;Практичный АЛ ;3;638067,48;549000
2022-12-01;Почта;Практичный АП ;33;10245318,44;7883000
2021-04-24;КЦ;Адресный;59;15833021,5;13616500
2021-07-12;КЦ;Рефинансирование для пенсионеров;4;1084427,5;900499,6
2021-08-05;Почта;Снижаем ставку ;17;13100186;12168000
2022-03-29;Почта;Суперсмарт Лайт А ;156;36406794,1;31212000
2022-07-11;DBO;Практичный А ;167;57824006,3;53669500
2021-12-18;КЦ;Практичный АП ;2;811790,6;711000
2021-02-08;Почта;Льготный;40;6594740;5196300
2021-08-29;КЦ;ПраймАдресный Первый  ;10;3767180;3240000
2021-09-09;КЦ;Снижаем ставку А промо ;3;2323190;2007500
2022-06-15;КЦ;Стабильный А ;9;2207372,83;2207372,83
2022-10-07;КЦ;Суперсмарт АП ;1;454999;400000
2021-08-11;Почта;Снижаем ставку ;22;17422510;15892000
2021-10-27;КЦ;Перспектива АП  ;5;7746610;6726000
2022-02-23;DBO;Рефинансирование Практичный А ;6;2502576,72;2404000
2022-05-06;КЦ;Суперсмарт А ;25;8543530,6;7915500
2022-06-18;DBO;Суперсмарт пенсионный ;1;150000;150000
2022-10-01;КЦ;Практичный пенсионный ;6;1284118,34;1100500
2021-10-06;Почта;Перспектива пенсионный  ;2;1530070;1406000
2021-10-25;КЦ;АП Снижаем ставку ;1;1096500;1000000
2021-04-29;DBO;ПраймАдресный Льготный  ;7;3472800;2990000
2021-09-30;POS;ПраймАдресный  ;1;350000;350000
2021-10-21;Почта;АЛ Перспектива Лайт  ;52;10266263,6;8657000
2022-02-19;DBO;Суперсмарт ;3;2023000;1919000
2021-10-25;Стойки;РефинансированиеПерспектива  ;1;504900;500000
2022-08-26;Почта;Рефинансирование Практичный А ;98;55761937,17;44052456,48
2022-08-04;КЦ;Рефинансирование Практичный АП ;1;416922;330000
2021-04-14;Почта;ПраймАдресный Льготный  ;78;27493967;24352600
2021-08-07;КЦ;Снижаем ставку ;4;2940482;2591000
2022-10-19;КЦ;Практичный А ;259;90605812,12;70796500
2021-08-21;DBO;ПраймСуперпочтовый  ;31;11482562;10163000
2022-06-26;Почта;Практичный А ;1;135764;110000
2021-05-04;КЦ;ПраймАдресный Первый  ;13;4259950;3735000
2022-09-30;DBO;Рефинансирование Суперсмарт А ;17;8182662;7526200
2021-10-29;КЦ;Перспектива Лайт А  ;143;55773043,6;49210500
2021-08-06;Почта;ПраймСуперпочтовый  ;111;41873737;35917000
2022-03-19;МАП;Суперсмарт Лайт ;3;439369,5;395500
2022-05-11;КЦ;Рефинансирование Суперсмарт Лайт А ;5;1361500;1280000
2022-01-27;DBO;Суперсмарт А ;21;21275030;20892000
2022-09-15;Почта;Рефинансирование Суперсмарт А ;9;4820639;4344700
2021-01-19;КЦ;Адресный  Первый;12;2647905,25;2448000
2021-09-16;Почта;Снижаем ставку АЛ минимум ;1;650596;531000
2022-04-15;КЦ;Практичный пенсионный ;10;1851055,89;1445600
2022-11-16;КЦ;Практичный ;127;45815902,18;37351500
2021-04-28;DBO;ПраймАдресный Льготный  ;12;4520800;4063000
2022-01-11;МАП;Суперсмарт ;2;1374000;1350000
2021-10-04;Почта;Перспектива Лайт А  ;256;99599016,5;85962500
2021-03-26;ПФР;Адресный;2;439900;434000
2021-03-29;Почта;Снижаем ставку плюс ;6;11381185;10676500
2021-04-19;МАП;Снижаем ставку ;1;500000;500000
2021-12-12;МАП;Практичный АЛ ;1;353680;300000
2022-12-05;DBO;Практичный ;60;15195018,92;13767500
2021-05-11;КЦ;Снижаем ставку ;18;11612223;10893500
2021-06-21;Почта;Снижаем ставку пенс промо ;1;1610875;1396500
2021-08-02;Почта;Снижаем ставку минимум ;1;897290;766000
2021-08-18;Стойки;ПраймСуперпочтовый  ;1;300000;300000
2021-02-28;DBO;Адресный Первый;4;1152720;970000
2022-03-07;DBO;Суперсмарт Лайт АП ;12;2580200;2380000
2021-11-09;МФЦ;Перспектива А  ;1;2239692,8;2048000
2021-03-25;Почта;ПраймАдресный й Льготный  ;4;1182240;998000
2021-06-17;КЦ;Снижаем ставку пенс промо ;1;1020900;1016000
2021-09-03;DBO;Перспектива  ;3;1988357,5;1760500
2022-07-20;КЦ;Суперсмарт АЛ ;3;1426543;1321000
2021-03-25;КЦ;Снижаем ставку плюс ;4;6895855;6545500
2021-05-21;DBO;Кредит наличными;1;804900;800000
2022-01-22;DBO;Практичный АЛ ;2;785000;785000
2021-07-08;Почта;Снижаем ставку АЛ промо ;1;716260;585000
2021-01-27;Почта;Суперхит  Рефинансирование Адресный;1;627836,41;462119
2021-10-18;КЦ;АЛ Снижаем ставку плюс ;1;1235060;1010000
2021-06-28;Стойки;Рефинансирование для пенсионеров;1;156940;128000
2022-08-02;POS;Практичный А ;2;446000;446000
2022-11-20;Почта;Практичный ;2;2423214,24;1820000
2021-02-09;КЦ;Адресный Первый;11;5218766;4686500
2021-09-22;КЦ;А Перспектива Лайт  ;29;9064662,5;7812500
2021-10-05;КЦ;Перспектива А  ;6;6071397,5;5767500
2022-04-25;DBO;Суперсмарт А ;2;1019900;950000
2022-09-06;КЦ;Рефинансирование Практичный ;3;1157520;1031000
2022-09-16;КЦ;Суперсмарт ;3;2334199;2175000
2022-11-17;Почта;Рефинансирование Практичный А ;137;71602070,57;54529925,73
2021-09-08;Стойки;А Перспектива Лайт  ;3;993500;860000
2021-09-24;КЦ;Снижаем ставку А минимум ;4;2928925;2728500
2022-01-24;Почта;Рефинансирование Практичный ;12;3949936,54;3625341,97
2022-06-21;КЦ;Рефинансирование Суперсмарт А ;14;5465263;4955200
2022-07-03;DBO;Суперсмарт АЛ ;1;500000;500000
2022-10-05;КЦ;Рефинансирование Практичный ;3;966135,56;720000
2021-03-10;МАП;Рефинансирование;2;975499,58;799999,65
2021-04-22;КЦ;Снижаем ставку плюс ;2;4469535;4091500
2021-10-26;Почта;АЛ Перспектива Лайт  ;78;13859846,5;11833000
2021-12-25;Почта;Рефинансирование Суперсмарт ;2;3583900;3470000
2021-05-26;DBO;А Снижаем ставку плюс ;2;3389890;3101000
2021-08-23;КЦ;ПраймАдресный Первый  ;9;3409009,6;3054000
2022-09-22;Почта;Суперсмарт пенсионный ;1;127899;110000
2021-01-20;DBO;Адресный;264;87766551,5;70713000
2021-05-30;DBO;ПраймСуперпочтовый  ;35;11732620;10328000
2021-10-20;Почта;АЛ Перспектива Лайт  ;64;10367048,4;8846900
2022-08-08;DBO;Практичный АЛ ;5;2324399;2054000
2021-04-13;Почта;ПраймАдресный Льготный  ;51;18719271;16751700
2021-06-11;МАП;ПраймАдресный Льготный  ;3;1153400;965000
2021-12-17;Почта;Рефинансирование Практичный АП ;5;2423988;2180000
2022-08-27;Почта;Рефинансирование Практичный А ;36;17459468,43;14374325,27
2022-09-14;DBO;Суперсмарт АПЛ ;1;288600;260000
2021-06-02;КЦ;ПраймАдресный Первый  ;14;5029750;4461500
2021-06-01;КЦ;АП Снижаем ставку ;1;533900;529000
2021-10-08;КЦ;Снижаем ставку А промо ;1;624900;620000
2022-05-07;Почта;Рефинансирование Практичный А ;13;5051700,4;4186000
2022-05-19;Почта;Рефинансирование Суперсмарт ;1;270000;270000
2022-08-23;КЦ;Рефинансирование Практичный А ;101;51226185,22;41178800
2022-12-17;DBO;Суперсмарт АП ;2;946958;833000
2021-06-28;МФЦ;ПраймАдресный  ;2;621780;560500
2021-10-07;МАП;Перспектива Лайт А  ;8;3239640;3073000
2022-02-15;КЦ;Суперсмарт АП ;8;6775990;6335000
2022-05-29;DBO;Рефинансирование Суперсмарт Лайт А ;1;461000;461000
2022-04-19;МАП;Рефинансирование Суперсмарт Лайт А ;1;109400;95000
2022-01-16;КЦ;Практичный АП ;3;1259110,8;1138000
2022-05-21;Почта;Суперсмарт АЛ ;2;328774;225000
2021-03-12;КЦ;Адресный Первый Льготный;9;1305750;1139500
2021-10-02;Почта;Перспектива АП  ;1;1481956;1276000
2021-10-12;DBO;А Снижаем ставку ;7;5344660;4928000
2022-02-19;Почта;Суперсмарт АП ;1;1100000;1100000
2021-02-06;Почта;Адресный Первый;2;864907;703000
2022-05-18;POS;Суперсмарт А ;1;150000;150000
2021-12-06;КЦ;Практичный А ;228;78713922,44;69113500
2022-04-14;Почта;Суперсмарт Лайт ;46;10136698,8;8867000
2022-06-10;DBO;Суперсмарт ;36;9392844;8829500
2022-11-02;Почта;Практичный АП ;46;18887297,62;15208000
2021-12-02;Почта;Суперсмарт АЛ ;5;4462430;4331000
2022-02-28;МАП;Суперсмарт Лайт пенсионный ;1;300000;300000
2021-03-16;Почта;Адресный Первый Льготный;32;5733040,5;4849500
2022-06-30;DBO;Суперсмарт АП ;11;2906999;2779000
2022-08-25;DBO;Рефинансирование Практичный ;1;500000;500000
2021-10-01;Почта;Рефинансирование Адресный;4;1723084,5;1510999,6
2022-02-24;Почта;Суперсмарт Лайт пенсионный ;68;18246280,7;15491000
2021-05-12;КЦ;Снижаем ставку ;5;4132630;4019500
2021-10-16;КЦ;Шаг навстречу;4;446200;446200
2022-02-04;МАП;Практичный А ;8;2362921,36;2181000
2022-05-04;Почта;Рефинансирование Суперсмарт пенсионный А ;7;2114357,5;1644500
2022-06-13;DBO;Практичный А ;32;9851991;9497000
2021-06-02;DBO;Снижаем ставку А промо ;1;1004900;1000000
2021-06-05;Почта;АП Снижаем ставку ;2;1311920;1119000
2021-08-26;Почта;ПраймАдресный Первый  ;31;10410439;9053500
2021-11-24;КЦ;ПраймАдресный Льготный  ;3;518225;451000
2022-09-15;DBO;Суперсмарт АПЛ ;1;300000;300000
2022-12-29;DBO;Рефинансирование Практичный А ;43;16986324,89;15023230,73
2022-02-24;КЦ;Суперсмарт АЛ ;2;1131535;1064500
2021-03-26;Почта;ПраймАдресный й Льготный  ;3;954800;900000
2022-04-14;КЦ;Практичный пенсионный ;4;664427,74;497100
2022-05-30;DBO;Рефинансирование Суперсмарт Лайт А ;1;410300;373000
2021-03-31;Почта;Адресный Льготный;262;50076798,5;42747000
2021-02-09;Почта;Льготный;135;24480797,9;19044400
2022-03-16;Почта;Рефинансирование Суперсмарт Лайт АП ;1;399900;395000
2022-04-10;Стойки;Суперсмарт Лайт АЛ ;1;80240;60000
2022-09-14;DBO;Практичный ;22;9546940;9045000
2021-11-15;КЦ;АЛ Перспектива Лайт  ;29;5414562,4;4569500
2022-02-21;КЦ;Суперсмарт АП ;4;3345470;3007000
2022-05-10;КЦ;Рефинансирование Суперсмарт ;1;92900;80000
2022-05-30;КЦ;Практичный ;113;38016988,5;31597000
2021-02-05;МФЦ;Адресный;2;530462,5;459500
2021-02-10;МАП;Суперпочтовый;10;7722989,5;7290500
2021-05-15;Почта;ПраймСуперпочтовый  ;68;22084898;20105500
2022-01-25;DBO;Рефинансирование Практичный А ;1;548373,25;475000
2022-04-27;DBO;Практичный АП ;4;624600;605000
2022-09-17;КЦ;Суперсмарт ;6;4625615;4238000
2021-01-17;Стойки;Адресный;1;108400;103500
2022-01-14;КЦ;Рефинансирование Суперсмарт АП ;2;1534170;1479000
2022-07-09;Почта;Практичный пенсионный ;17;4059257,48;3197500
2022-08-03;POS;Практичный А ;3;796491,24;755000
2022-12-14;КЦ;Суперсмарт ;3;3109436;2685000
2021-03-27;КЦ;Адресный Льготный;60;11314290,5;9410500
2021-06-09;Почта;А Снижаем ставку плюс ;3;7938150;7518000
2021-06-23;DBO;Снижаем ставку А минимум ;4;3988850;3760000
2021-07-07;КЦ;Рефинансирование Адресный;3;1873422;1751000
2021-08-29;DBO;Снижаем ставку А промо ;1;554900;550000
2022-07-02;КЦ;Практичный АПЛ ;1;386019;300000
2022-01-18;Почта;Рефинансирование Суперсмарт АП ;3;3318700;3221200
2021-10-14;КЦ;Шаг навстречу;2;578200;578200
2022-02-03;КЦ;Суперсмарт рефинансирование пенсионный А ;1;507400;500500
2021-06-11;КЦ;Снижаем ставку промо ;6;4212505;3995500
2022-07-02;МФЦ;Практичный ;1;1529239;1200000
2021-06-01;КЦ;ПраймАдресный Первый  ;14;4554500;3980000
2021-09-10;POS;ПраймАдресный Льготный  ;1;71780;55000
2021-07-16;DBO;А Снижаем ставку ;6;4655850;4112000
2021-09-24;Почта;Перспектива Лайт АЛ  ;82;32363004,9;27356900
2021-10-06;DBO;А Снижаем ставку ;7;4765325;4631000
2022-05-30;DBO;Рефинансирование Практичный ;1;500000;500000
2022-05-31;КЦ;Шаг навстречу;3;343900;343900
2021-07-30;МАП;ПраймАдресный  ;14;6134502;5412500
2022-09-11;КЦ;Рефинансирование Суперсмарт А ;1;439899;390000
2021-05-14;Почта;Снижаем ставку ;24;16987692;15927000
2022-04-24;КЦ;Суперсмарт Лайт А ;5;1473700;1294000
2021-09-20;КЦ;Перспектива Лайт АЛ  ;3;1209755;991000
2022-01-03;КЦ;Практичный АЛ ;15;4630680,92;3959000
2022-08-26;КЦ;Шаг навстречу;2;486600;486600
2021-06-03;Почта;А Снижаем ставку ;11;7306750;6955000
2021-11-06;DBO;Перспектива Лайт АЛ  ;3;1300000;1300000
2022-05-05;DBO;Суперсмарт Лайт АЛ ;2;333300;303000
2021-03-04;ПФР;Суперпочтовый;1;233983,5;200500
2022-04-15;Почта;Рефинансирование Суперсмарт Лайт А ;11;3621040;3225000
2022-11-16;КЦ;Шаг навстречу;1;217400;217400
2022-12-06;Почта;Рефинансирование Суперсмарт А ;8;4302664;3788100
2021-07-14;Стойки;Рефинансирование;1;313010,82;300499,82
2021-08-24;Пятерочка;ПраймАдресный  ;1;404900;400000
2022-01-23;DBO;Практичный ;2;859800;850000
2022-04-13;Почта;Суперсмарт Лайт ;44;11146946,6;9768000
2022-09-20;DBO;Суперсмарт АП ;1;246999;240000
2021-03-04;МАП;Адресный;10;3468305;3206000
2021-06-16;Почта;ПраймАдресный й Льготный  ;5;1346948;1206100
2022-04-01;КЦ;Суперсмарт Лайт АПЛ ;2;653276;561000
2022-09-21;КЦ;Суперсмарт пенсионный ;1;144999;125000
2021-02-18;POS;Суперпочтовый;3;666000;666000
2021-04-01;ПФР;Льготный;1;74750;65000
2021-05-27;Стойки;ПраймСуперпочтовый  ;3;704256;665000
2021-06-17;DBO;Снижаем ставку А минимум ;2;1459140;1330000
2021-03-20;Почта;ПраймАдресный й Льготный  ;3;1071980;896000
2021-04-02;КЦ;Адресный Льготный;120;23005231,5;19072000
2021-04-25;Почта;Снижаем ставку плюс ;1;4404900;4400000
2022-01-21;КЦ;Рефинансирование Практичный ;10;2364236,32;2091277,3
2022-04-20;Почта;Суперсмарт Лайт ;39;9518888;8296000
2021-04-28;МФЦ;Адресный;1;156000;156000
2021-08-22;КЦ;ПраймАдресный  ;67;23929799;20269500
2021-10-08;ПФР;Перспектива  ;2;2156000;2000000
2022-06-10;DBO;Рефинансирование Суперсмарт пенсионный А ;1;247499;220000
2022-08-12;DBO;Рефинансирование Практичный А ;36;16966144,92;14971000
2021-03-12;КЦ;Рефинансирование Адресный;2;753570,1;736900
2021-11-13;Стойки;Перспектива Лайт А  ;3;1232600;1145000
2022-02-04;Почта;Рефинансирование Практичный пенсионный ;2;865473,6;736000
2021-08-31;КЦ;ПраймСуперпочтовый  ;86;29585233,4;26225500
2021-09-18;Почта;А Перспектива Лайт  ;71;26156263;22115000
2022-06-04;КЦ;Суперсмарт А ;22;7496543;6884000
2021-02-26;ПФР;Суперпочтовый;1;377600;300000
2022-04-28;Почта;Рефинансирование Суперсмарт А ;18;9784198;8802500
2021-10-09;Стойки;АЛ Перспектива Лайт  ;2;419100;362500
2021-06-09;Почта;Снижаем ставку промо ;11;9887250;9215000
2021-07-08;КЦ;ПраймАдресный Льготный  ;98;29428292,4;25040500
2022-04-29;КЦ;Суперсмарт Лайт АЛ ;5;251969;202500
2022-07-07;Стойки;Практичный А ;2;1295043;1110000
2022-08-16;DBO;Рефинансирование Практичный АП ;1;1431999;1420000
2021-02-18;КЦ;Рефинансирование Адресный;3;880298,5;796500
2021-07-01;DBO;Снижаем ставку А промо ;2;1842700;1710000
2022-02-07;МАП;Суперсмарт ;1;2000000;2000000
2021-01-14;Почта;Адресный Первый;14;7302955;6568000
2021-12-22;МАП;Рефинансирование Суперсмарт АП ;1;553900;550000
2022-08-01;Почта;Практичный ;226;97728197,69;79336500
2021-02-27;ПФР;Адресный;1;50000;50000
2022-07-27;DBO;Рефинансирование Суперсмарт ;3;1166000;1055000
2022-12-10;DBO;Практичный АП ;3;603999;599000
2022-12-21;DBO;Стабильный А ;26;4816532,65;4816532,65
2021-09-27;Почта;АП Снижаем ставку плюс ;1;1648420;1420000
2022-04-02;КЦ;Суперсмарт Лайт А ;53;14434886,2;12412500
2022-05-30;Почта;Рефинансирование Суперсмарт Лайт пенсионный А ;1;300500;300500
2022-09-23;Почта;Практичный АПЛ ;1;263151;210000
2021-09-04;КЦ;Рефинансирование Адресный;4;3330769,65;3060439,97
2022-03-25;Почта;Суперсмарт Лайт пенсионный ;33;7234256,6;6017000
2022-06-24;Почта;Рефинансирование Суперсмарт А ;24;8884995,5;7944600
2021-05-10;DBO;Снижаем ставку плюс ;1;2239400;2050000
2021-10-08;Почта;Перспектива АП  ;1;729275;610000
2022-01-23;КЦ;Суперсмарт АП ;1;638290;613000
2021-06-17;Почта;Рефинансирование для пенсионеров;12;2642955,54;2279944,92
2022-02-06;Почта;Практичный ;1;314576,8;271000
2021-06-16;POS;ПраймСуперпочтовый  ;1;205000;205000
2021-11-16;МФЦ;А Перспектива Лайт  ;1;248600;200000
2021-01-26;DBO;Льготный;4;711780;520000
2021-03-05;КЦ;Льготный;3;818664;708000
2021-06-17;МФЦ;ПраймСуперпочтовый  ;3;1002840;900000
2021-06-27;КЦ;Шаг навстречу;3;321800;321800
2021-03-13;Почта;Суперпочтовый;77;21908831;18697000
2021-03-26;КЦ;Снижаем ставку плюс ;2;3987755;3649500
2021-04-24;DBO;ПраймАдресный Первый  ;6;1831160;1652000
2022-05-18;DBO;Суперсмарт ;15;5465300;5170000
2022-11-21;POS;Практичный А ;1;300000;300000
2022-12-02;КЦ;Стабильный А ;13;2635297,38;2635297,38
2022-04-16;Стойки;Практичный АЛ ;1;670100;500000
2021-04-02;ПФР;Суперпочтовый;2;355010;340000
2021-08-16;DBO;А Снижаем ставку плюс ;1;1010000;1010000
2022-04-15;КЦ;Практичный АП ;4;1079998,2;996000
2021-03-23;МАП;ПраймСуперпочтовый  ;6;2026700;1850000
2022-06-02;КЦ;Суперсмарт пенсионный ;7;1643028;1480500
2021-08-18;DBO;ПраймАдресный Льготный  ;10;2833388;2343100
2021-11-10;Почта;РефинансированиеПерспектива  ;8;2316069,83;2135713
2022-01-12;КЦ;Шаг навстречу;3;895100;895100
2021-11-23;Почта;Перспектива АЛ  ;1;785572;642000
2021-02-17;POS;Суперхит  Адресный;2;265000;265000
2021-12-02;DBO;А Перспектива Лайт  ;1;200000;200000
2022-09-20;КЦ;Практичный А ;242;104767124,4;84747000
2021-01-14;МФЦ;Суперпочтовый;1;268650;250000
2021-01-16;POS;Адресный Льготный;2;310510;225000
2021-07-06;Почта;Снижаем ставку минимум ;11;10663804,5;9753000
2021-08-04;Почта;ПраймАдресный Первый  ;14;5720344,8;4886000
2021-11-12;КЦ;Шаг навстречу;4;728900;728900
2021-11-23;DBO;Суперсмарт ;10;9046410;8925000
2021-05-25;POS;ПраймСуперпочтовый  ;2;503000;503000
2021-06-01;DBO;Снижаем ставку промо ;2;2149560;1924000
